lead_id,created_at,status,revenue,source_campaign,conversion_lag_days,requires_human_review
90ccbd56-de6e-4628-bb79-30c302a1564a,2024-01-01,closed_lost,,cmp_prospecting_003,5,False
1233fae9-41a8-49bc-8b04-5c26f8509105,2024-01-01,closed_lost,,cmp_lookalike_004,2,False
acfca0ba-37e3-47cc-be47-82895f95464a,2024-01-01,qualified,,cmp_brand_001,1,False
c59fab16-7659-4b63-9695-b52028d63ce9,2024-01-01,new,,cmp_seasonal_005,1,False
777bda13-2ab6-429c-8f14-041e80abfe33,2024-01-01,closed_won,1907.5,cmp_seasonal_005,1,False
c8b2d8b5-d4af-48b9-9d74-589bb80eacce,2024-01-01,closed_won,9451.55,cmp_retarget_002,2,False
f27720ab-4a2a-4e20-924b-a7033d188ece,2024-01-01,new,,cmp_brand_001,7,False
ec735854-3fa5-4047-98bc-552d634dd07b,2024-01-01,qualified,,cmp_lookalike_004,6,False
79631f54-988e-4753-a70c-37446ec45d3f,2024-01-02,closed_lost,,cmp_seasonal_005,7,False
3ab05e1b-f937-4c25-b4ae-a292ec1831f1,2024-01-02,closed_won,10570.36,cmp_lookalike_004,4,False
e106038a-f299-4db5-a6bc-d5be1301291f,2024-01-02,new,,cmp_seasonal_005,4,False
1e5603cd-6ae3-4b4e-87b4-d58194e45dea,2024-01-02,closed_lost,,cmp_seasonal_005,2,False
3b062d48-9ece-454c-afcc-93caf2b0a639,2024-01-02,closed_lost,,cmp_brand_001,7,False
27f38e4b-5822-4fcd-aff5-425491c6960b,2024-01-02,new,,cmp_lookalike_004,1,False
6dea0ea3-2740-41e4-8399-d45df2bd2dcc,2024-01-02,new,,cmp_brand_001,6,False
126a890d-fa91-4877-b3d8-4fb2e36213ff,2024-01-02,closed_won,1756.55,cmp_prospecting_003,1,False
fff67e7f-1c20-47ad-8c65-9ac0a023f1a1,2024-01-03,closed_lost,,cmp_brand_001,5,False
e02b25bd-0244-4ad0-ac50-9cf251033e34,2024-01-03,qualified,,cmp_brand_001,3,False
4319046f-0c5a-474b-80a5-aba4fc1adde7,2024-01-03,closed_lost,,cmp_retarget_002,3,False
48ce3afc-ed37-4c4a-91e6-829e3aafd9d4,2024-01-03,closed_won,5568.31,cmp_brand_001,2,False
23c12291-3bcc-4fc3-9906-7a9792c68744,2024-01-03,new,,cmp_lookalike_004,7,False
a1153ad7-ea9c-475c-b913-7c2afd56a9c6,2024-01-03,new,,cmp_prospecting_003,7,False
223fbcc2-4e32-43bc-8487-dfb890104889,2024-01-03,closed_lost,,cmp_prospecting_003,1,False
e6ff9070-3ef4-487d-8d90-0e6bfeaa892a,2024-01-03,qualified,,cmp_seasonal_005,2,False
ff37d504-8989-46ca-b165-cae0c7fc2166,2024-01-04,closed_lost,,cmp_lookalike_004,4,False
70402bda-e34f-4776-b7a4-d98f28276019,2024-01-04,closed_won,2302.9,cmp_seasonal_005,4,False
08afe402-c5a1-4723-a228-2bba1fd3e762,2024-01-04,qualified,,cmp_retarget_002,7,False
38e60449-da38-4ca8-8ed7-5182993ce562,2024-01-04,closed_lost,,cmp_lookalike_004,3,False
bbf7ead2-6c57-4b11-8b06-fe808f523cdc,2024-01-04,qualified,,cmp_retarget_002,6,False
8e0fd199-1c65-4b52-a742-13cc1b175251,2024-01-04,qualified,,cmp_retarget_002,6,False
bc27e18d-57af-4aaf-a27e-3fea58778735,2024-01-04,closed_lost,,cmp_retarget_002,1,False
5f24f6a7-2c7c-43f5-a5f5-2595535d50e0,2024-01-04,closed_lost,,cmp_lookalike_004,1,False
a5de50db-f60e-442f-ab70-f97c835c44a8,2024-01-05,closed_lost,,cmp_prospecting_003,1,False
5274644e-e6bc-4b1d-9427-f15b3e8faa94,2024-01-05,closed_lost,,cmp_brand_001,1,False
a4b51c3d-b05a-47f6-a885-2f9e767830f0,2024-01-05,closed_lost,,cmp_retarget_002,3,False
2c9fae92-9136-40fd-b10b-28fde2614a43,2024-01-05,closed_lost,,cmp_prospecting_003,6,False
624a1956-9b64-4aec-99c0-2aaf39eca432,2024-01-05,closed_won,14288.73,cmp_seasonal_005,4,False
2f56d3dc-dbd6-4e85-a6c4-48a74a351152,2024-01-05,closed_won,4271.39,cmp_lookalike_004,6,False
b9b3d2a9-8f3b-40ba-85d6-2a3d26b55e86,2024-01-05,closed_lost,,cmp_lookalike_004,6,False
f09c1459-0833-4868-bfab-73395952d6a9,2024-01-05,qualified,,cmp_brand_001,2,False
6031a585-47cb-4ebe-a1cf-86c0a26f29bc,2024-01-06,closed_won,8100.43,cmp_retarget_002,6,False
cf8c0977-990d-46d7-9423-c77a5fc2c428,2024-01-06,qualified,,cmp_brand_001,3,False
