lead_id,created_at,status,revenue,source_campaign,conversion_lag_days,requires_human_review
60acd62b-b47b-4758-9fbe-51854aa90862,2024-01-01,closed_lost,,cmp_prospecting_003,5,False
4b4d6d89-98c4-40d4-841b-39ad5dab1d7a,2024-01-01,new,,cmp_lookalike_004,7,False
d74d751a-e435-4415-9852-5aa47466da15,2024-01-01,closed_lost,,cmp_retarget_002,5,False
063f1586-bebe-4dcc-937e-4c8b510c5a9d,2024-01-01,closed_won,14776.46,cmp_prospecting_003,7,False
0d24f4a6-361b-4c88-8379-5a09c164221f,2024-01-01,qualified,,cmp_seasonal_005,1,False
378a7178-4454-4640-885f-306ca4c51adb,2024-01-01,closed_won,6512.8,cmp_lookalike_004,4,False
27e7045d-2b0d-41ed-b29a-ef7ae2bf6b8d,2024-01-01,qualified,,cmp_retarget_002,5,False
d3835ee8-418f-4db7-b51a-ae63df945b92,2024-01-01,qualified,,cmp_brand_001,2,False
61c54bd8-b637-4b6c-9ecb-2761964eadf1,2024-01-07,qualified,,cmp_seasonal_005,5,False
3f839800-05cb-4eb7-9726-ea2be0908f8b,2024-01-07,qualified,,cmp_lookalike_004,3,False
990cddf6-4349-4e42-824a-d371231c724a,2024-01-07,qualified,,cmp_seasonal_005,7,False
06f27324-8561-4c76-b956-5f6a08282328,2024-01-07,closed_won,10227.36,cmp_brand_001,3,False
8d4e7312-7d82-49b2-a7be-7a49ff52de93,2024-01-07,qualified,,cmp_lookalike_004,2,False
ba4397c0-8951-444a-a529-f0f313a5ae94,2024-01-07,closed_lost,,cmp_lookalike_004,5,False
ee2dc403-6671-4b69-9b7b-0447795376c6,2024-01-07,new,,cmp_retarget_002,2,False
9c185d35-e38b-48bd-9d42-cbd3df9623e5,2024-01-07,qualified,,cmp_prospecting_003,6,False
09b69ad4-94c7-4e78-ad95-e9416f115892,2024-01-03,new,,cmp_prospecting_003,2,False
62dc63cf-5cda-4603-8733-3722ef49828c,2024-01-03,closed_lost,,cmp_brand_001,3,False
f185c7cb-fe5a-4ae8-b480-bf71821eeb19,2024-01-03,closed_won,592.37,cmp_prospecting_003,1,False
0292c4ed-f702-4d27-964b-4c285e88e709,2024-01-03,closed_lost,,cmp_lookalike_004,2,False
f51be3fe-067e-47e0-940e-0f51c294b6b7,2024-01-03,closed_lost,,cmp_prospecting_003,6,False
01e103c7-bdd5-4707-98fc-c816b2d06d0b,2024-01-03,qualified,,cmp_seasonal_005,5,False
